,featurecla,scalerank,adm1_code,diss_me,iso_3166_2,wikipedia,iso_a2,adm0_sr,name,name_alt,name_local,type,type_en,code_local,code_hasc,note,hasc_maybe,region,region_cod,provnum_ne,gadm_level,check_me,datarank,abbrev,postal,area_sqkm,sameascity,labelrank,name_len,mapcolor9,mapcolor13,fips,fips_alt,woe_id,woe_label,woe_name,latitude,longitude,sov_a3,adm0_a3,adm0_label,admin,geonunit,gu_a3,gn_id,gn_name,gns_id,gns_name,gn_level,gn_region,gn_a1_code,region_sub,sub_code,gns_level,gns_lang,gns_adm1,gns_region,min_label,max_label,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_he,name_uk,name_ur,name_fa,name_zht,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,FCLASS_TLC,baseClass,subClass,lat,lon,GEOlayersMatchProperty,y_2005
12,Admin-1 states provinces,7,VNM-456,456,VN-21,,VN,1,Thanh Hóa,Thanh Hoa,,Tỉnh,Province,,VN.TH,,,Bắc Trung Bộ,VNM-THO,55,2,20,5,,TH,0,-99,7,9,5,4,VM34,,2347715,"Thanh Hoa, VN, Vietnam",Thanh Hóa,20.0917,105.215,VNM,VNM,2,Vietnam,Vietnam,VNM,1566165,Tinh Thanh Hoa,-3729996,"Thanh Hoa, Tinh",1,,VN.34,,VM34,1,eng,VM34,,8.0,11,8,Q36512,محافظة تان هوا,থাহ্ন হোয়া,Thanh Hóa,Thanh Hóa,Thanh Hóa,Thanh Hóa,Θανχ Χόα,थांह होआ,Thanh Hóa,Thanh Hoa,Thanh Hoa,タインホア省,타인호아성,Thanh Hóa,Prowincja Thanh Hóa,Thanh Hoa,Тханьхоа,Thanh Hoa,Thanh Hóa,Thanh Hóa,清化省,1159308335,טהאינג הואה,Тханьхоа,تھان ہوا صوبہ,تان هوا,清化省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,20.04918169625316,105.33159664283178,12 Thanh Hóa,-0.18
13,Admin-1 states provinces,7,VNM-475,475,VN-22,,VN,1,Nghệ An,Nghe An,,Tỉnh,Province,,VN.NA,,,Bắc Trung Bộ,VNM-NAN,54,2,20,5,,,0,-99,7,7,5,4,VM58,,2347742,"Nghe An, VN, Vietnam",Nghệ An,19.3548,104.827,VNM,VNM,2,Vietnam,Vietnam,VNM,1559969,Tinh Nghe An,-3736202,"Nghe An, Tinh",1,,VN.58,,VM66,1,eng,VM58,,8.0,11,8,Q36587,محافظة ني أن,নেহেয়ান,Nghệ An,Nghệ An,Nghệ An,Nghệ An,Νγκχε Αν,नाघिए एन,Nghệ An,Nghệ An,Nghe An,ゲアン省,응에안성,Nghệ An,Prowincja Nghệ An,Nghe An,Нгеан,Nghe An,Nghe An,Nghệ An,乂安省,1159308371,נגה אן,Нгеан,نگہ آن صوبہ,استان نه آن,乂安省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,19.238706617668917,104.9315470219738,13 Nghệ An,0.19
14,Admin-1 states provinces,7,VNM-474,474,VN-23,,VN,1,Hà Tĩnh,Ha Tinh,,Tỉnh,Province,,VN.HT,,,Bắc Trung Bộ,VNM-HTN,56,2,20,5,,,0,7,7,7,5,4,VM52,,2347736,"Ha Tinh, VN, Vietnam",Ha Tinh,18.3563,105.799,VNM,VNM,2,Vietnam,Vietnam,VNM,1580700,Tinh Ha Tinh,-3715425,"Ha Tinh, Tinh",1,,VN.52,North Central Coast,VM60,1,vie,VM52,,8.0,11,8,Q33351,محافظة ها تنه,হা তিহ্ন,Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Χα Τινχ,हे तिन्ह,Ha Tinh,Ha Tinh,Ha Tinh,ハティン省,하띤성,Hà Tĩnh,Prowincja Hà Tĩnh,Ha Tinh,Хатинь,Ha Tinh,Hà Tĩnh,Hà Tĩnh,河静省,1159308367,הא טינג,Хатінь,صوبہ ہاتنہ,استان ها تین,河靜省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,18.28829210983268,105.72274111372197,14 Hà Tĩnh,-0.35
15,Admin-1 states provinces,7,VNM-476,476,VN-24,,VN,1,Quảng Bình,Quang Binh,,Tỉnh,Province,,VN.QB,,,Bắc Trung Bộ,VNM-QBN,33,2,20,5,,QB,0,-99,7,10,5,4,VM62,,2347746,"Quang Binh, VN, Vietnam",Quảng Bình,17.4691,106.357,VNM,VNM,2,Vietnam,Vietnam,VNM,1568839,Tinh Quang Binh,-3727314,"Quang Binh, Tinh",1,,VN.62,,VM70,1,eng,VM62,,8.0,11,8,Q23533,محافظة كوانغ بنه,কুয়াং বিন প্রদেশ,Quảng Bình,Quảng Bình,Quảng Bình,Quảng Bình,Κουάνγκ Μπινχ,कैंग बिन्ह,Quang Binh,Quang Binh,Quang Binh,クアンビン省,꽝빈성,Quảng Bình,Prowincja Quảng Bình,Quang Binh,Куангбинь,Quang Binh,Quảng Bình,Quảng Bình,广平省,1159308373,קוואנג בין,Куангбінь,صوبہ کوانگ بن,استان کوانگبن,廣平省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,17.510710828192146,106.30082563950006,15 Quảng Bình,0.64
16,Admin-1 states provinces,7,VNM-489,489,VN-25,,VN,1,Quảng Trị,Quang Tri,,Tỉnh,Province,,VN.QT,,,Bắc Trung Bộ,VNM-QTR,25,2,20,5,,QT,0,-99,7,9,5,4,VM64,,2347747,"Quang Tri, VN, Vietnam",Quảng Trị,16.7204,106.973,VNM,VNM,2,Vietnam,Vietnam,VNM,1568733,Tinh Quang Tri,-3727420,"Quang Tri, Tinh",1,,VN.64,,VM72,1,eng,VM64,,8.0,11,8,Q36579,محافظة كوانغ تشي,কুয়াং ত্রি,Quảng Trị,Quảng Trị,Quảng Trị,Quảng Trị,Κουάνγκ Τρι,क्वांग ट्राय,Quảng Trị,Quang Tri,Quang Tri,クアンチ省,꽝찌성,Quảng Trị,Prowincja Quảng Trị,Quang Tri,Куангчи,Quang Tri,Quảng Trị,Quảng Trị,广治省,1159308311,קואנג צ'י,Куангчі,قوانگ تری صوبہ,استان کوانگ تری,廣治省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,16.73548849579396,106.93275605442712,16 Quảng Trị,0.29
17,Admin-1 states provinces,7,VNM-490,490,VN-26,,VN,1,Thừa Thiên Huế,Thua Thien - Hue,,Tỉnh,Province,,VN.TT,,,Bắc Trung Bộ,VNM-TTH,17,2,20,5,,TT,0,-99,7,16,5,4,VM66,,2347749,"Thura Thien-Hue, VN, Vietnam",Thừa Thiên - Huế,16.312,107.634,VNM,VNM,2,Vietnam,Vietnam,VNM,1565033,Tinh Thua Thien-Hue,-3731128,"Thua Thien-Hue, Tinh",1,,VN.66,,VM74,1,eng,VM66,,8.0,11,8,Q36399,محافظة تهوا تهين هويه,থুুয়া থিয়েন-হু,Thừa Thiên-Huế,Thừa Thiên Huế,Thừa Thiên-Huế,Thừa Thiên-Huế,Θούα Θιέν-Χουέ,थुरा थिएन-हुअए,Thừa Thiên-Huế,Thua Thien-Hue,Thua Thien-Hue,トゥアティエン＝フエ省,트어티엔후에성,Thừa Thiên-Huế,Prowincja Thừa Thiên-Huế,Thua Thien-Hue,Тхыатхьен-Хюэ,Thua Thien-Hué,Thừa Thiên - Huế,Thừa Thiên Huế,承天顺化省,1159308313,טהיאה טהיין-הואה,Тхиатхьєн-Хюе,تھوا تھیئن-ہوائے صوبہ,استان توا تین–هوئه,承天順化省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,16.38204417568471,107.43062625568363,17 Thừa Thiên Huế,0.4
18,Admin-1 states provinces,7,VNM-487,487,VN-27,,VN,1,Quảng Nam,Quang Nam,,Tỉnh,Province,,VN.QM,,,,VNM-QND,18,2,20,5,,DA,0,-99,7,9,5,4,,,2347711,"Quang Nam, VN, Vietnam",Quàng Nam,15.6535,107.955,VNM,VNM,2,Vietnam,Vietnam,VNM,1905516,Tinh Quang Nam,410147,"Quang Nam,Tinh",1,,VN.84,,,1,fas,VM84,,8.0,11,8,Q33356,محافظة كوانغ نام,কুয়াং নাম,Quảng Nam,Quảng Nam,Quảng Nam,Quảng Nam,Κουάνγκ Ναμ,कैंग नाम,Quàng Nam,Quang Nam,Quang Nam,クアンナム省,꽝남성,Quảng Nam,Prowincja Quảng Nam,Quang Nam,Куангнам,Quang Nam,Quang Nam,Quảng Nam,广南省,1159308307,קוונג נאם,Куангнам,قوانگ نام صوبہ,استان کوانگ نام,廣南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,15.622363954566833,107.94301210739071,18 Quảng Nam,0.31
19,Admin-1 states provinces,7,VNM-512,512,VN-03,,VN,1,Hà Giang,Ha Giang,,Tỉnh,Province,,VN.HG,,,Đông Bắc,VNM-HGN,51,2,20,5,,HG,0,-99,7,8,5,4,VM50,,2347734,"Ha Giang, VN, Vietnam",Hà Giang,22.7655,104.965,VNM,VNM,2,Vietnam,Vietnam,VNM,1581030,Tinh Ha Giang,-3715093,"Ha Giang, Tinh",1,,VN.50,,VM58,1,vie,VM50,,8.0,11,8,Q36685,محافظة ها زانغ,হা জিয়াং,Hà Giang,Hà Giang,Hà Giang,Hà Giang,Χα Γκιάνγκ,हा जियांग,Hà Giang,Ha Giang,Ha Giang,ハザン省,하장성,Hà Giang,Prowincja Hà Giang,Ha Giang,Хазянг,Ha Giang,Ha Giang,Hà Giang,河江省,1159308401,הא זאנג,Хазянг,ہا گیانگ صوبہ,استان ها گیانگ,河江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,22.759475776709007,104.98463499839735,19 Hà Giang,1.9
20,Admin-1 states provinces,7,VNM-511,511,VN-04,,VN,1,Cao Bằng,Cao Bang,,Tỉnh,Province,,VN.CB,,,Đông Bắc,VNM-CBA,59,2,20,5,,CB,0,-99,7,8,5,4,VM05,,2347704,"Cao Bang, VN, Vietnam",Cao Bằng,22.7595,106.047,VNM,VNM,2,Vietnam,Vietnam,VNM,1586182,Tinh Cao Bang,-3709931,"Cao Bang, Tinh",1,,VN.05,,VM05,1,vie,VM05,,8.0,11,8,Q36865,محافظة كاو بانغ,কাও ব্যাং,Cao Bằng,Cao Bằng,Cao Bằng,Cao Bằng,Κάο Μπάνγκ,केओ बैंग,Cao Bằng,Cao Bang,Cao Bang,カオバン省,까오방성,Cao Bằng,Prowincja Cao Bằng,Cao Bang,Каобанг,Cao Bang,Cao Bằng ili,Cao Bằng,高平省,1159308399,קאו באנג,Каобанг,کاؤ بانگ صوبہ,استان کائو بانگ,高平省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,22.73725586606534,106.04733056320887,20 Cao Bằng,0.43
21,Admin-1 states provinces,7,VNM-5483,5483,VN-02,,VN,1,Lào Cai,Lao Cai,,Tỉnh,Province,,VN.LO,,,Đông Bắc,VNM-LCA,52,2,20,5,,LO,0,-99,7,7,5,4,VM90,,2347740,"Lao Cai, VN, Vietnam",Lào Cai,22.3559,104.096,VNM,VNM,2,Vietnam,Vietnam,VNM,1562412,Tinh Lao Cai,-3733752,"Lao Cai, Tinh",1,,VN.90,,VM64,1,eng,VM90,,8.0,11,8,Q36446,محافظة لاو كاي,লাও কায়,Lào Cai,Lào Cai,Lào Cai,Lào Cai,Λάο Κάι,लाओ काई प्रांत,Lào Cai,Lao Cai,Lao Cai,ラオカイ省,라오까이성,Lào Cai,Prowincja Lào Cai,Lao Cai,Лаокай,Lao Cai,Lào Cai,Lào Cai,老街省,1159308327,לאו קאי,Лаокай,لاو کائے صوبہ,استان لائو کای,老街省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,22.260993351492147,104.09639021510608,21 Lào Cai,1.29
